start,end,trips,start_lat,start_long,end_lat,end_long,dist_miles,width
95402,95404,379,38.4399,-122.7096,38.4405,-122.7144,0.26305291,1.5
94952,94931,375,38.2403,-122.6777,38.3259,-122.7048,6.0942797,1.5
95492,95404,371,38.5443,-122.8073,38.4405,-122.7144,8.7564621,1.5
94952,95472,365,38.2403,-122.6777,38.3941,-122.8433,13.910896,1.5
94928,95405,361,38.347,-122.6941,38.4386,-122.6727,6.4341741,1.5
95407,94954,360,38.4089,-122.7339,38.2507,-122.6155,12.67515,1.5
95448,95407,355,38.6184,-122.862,38.4089,-122.7339,16.046453,1.5
95405,95492,353,38.4386,-122.6727,38.5443,-122.8073,10.311222,1.5
95409,95403,349,38.4592,-122.6393,38.4822,-122.7473,6.0545328,1.5
94928,95409,345,38.347,-122.6941,38.4592,-122.6393,8.3007149,1.5
95409,95407,344,38.4592,-122.6393,38.4089,-122.7339,6.1881025,1.5
95409,95404,337,38.4592,-122.6393,38.4405,-122.7144,4.2641649,1.5
95401,94954,336,38.4432,-122.7547,38.2507,-122.6155,15.290453,1.5
95404,94954,329,38.4405,-122.7144,38.2507,-122.6155,14.166733,1.5
95409,95401,327,38.4592,-122.6393,38.4432,-122.7547,6.3413531,1.5
95403,95441,324,38.4822,-122.7473,38.7173,-122.8834,17.828962,1.5
95407,94952,316,38.4089,-122.7339,38.2403,-122.6777,12.040855,1.5
94954,95492,302,38.2507,-122.6155,38.5443,-122.8073,22.789927,1.5
94928,95492,300,38.347,-122.6941,38.5443,-122.8073,14.945178,1.5
95409,95405,298,38.4592,-122.6393,38.4386,-122.6727,2.3004886,1.5
94954,94931,297,38.2507,-122.6155,38.3259,-122.7048,7.1028146,1.5
94954,95405,297,38.2507,-122.6155,38.4386,-122.6727,13.347529,1.5
95401,94952,296,38.4432,-122.7547,38.2403,-122.6777,14.626864,1.5
95402,95403,293,38.4399,-122.7096,38.4822,-122.7473,3.5639945,1.5
95403,95436,293,38.4822,-122.7473,38.4923,-122.9042,8.5142006,1.5
95401,95448,290,38.4432,-122.7547,38.6184,-122.862,13.422719,1.5
94954,95472,284,38.2507,-122.6155,38.3941,-122.8433,15.831753,1.5
95404,94952,279,38.4405,-122.7144,38.2403,-122.6777,13.974734,1.5
94954,95409,278,38.2507,-122.6155,38.4592,-122.6393,14.463558,1.5
95403,94931,278,38.4822,-122.7473,38.3259,-122.7048,11.041735,1.5
95404,95448,269,38.4405,-122.7144,38.6184,-122.862,14.653765,1.5
95473,95472,269,38.4022,-122.8227,38.3941,-122.8433,1.2479999,1.5
95492,94928,269,38.5443,-122.8073,38.347,-122.6941,14.945178,1.5
94951,95407,265,38.3153,-122.6483,38.4089,-122.7339,7.9580272,1.5
95492,95409,262,38.5443,-122.8073,38.4592,-122.6393,10.82092,1.5
95402,95401,257,38.4399,-122.7096,38.4432,-122.7547,2.451297,1.5
94953,94952,255,38.2324,-122.6367,38.2403,-122.6777,2.2910561,1.5
94955,94954,255,38.2324,-122.6367,38.2507,-122.6155,1.709462,1.5
